"case","t","y1","y2"
1053,8,2.48536952279636,2.99183934472405
1053,8.5,2.83432972669183,2.79141931533259
1053,9,3.19825834944091,2.58178045038516
1053,9.5,3.57587200207883,2.37794404069507
1053,10,3.96646720567194,2.19144424946949
1054,0,-0.190031975274906,0.514496699674055
1054,0.5,-0.142425128554746,0.652651824848291
1054,1,-0.0905538578645927,0.82496198583086
1054,1.5,-0.0320560207267983,1.0355344959028
1054,2,0.0359570129105397,1.2859825813777
1054,2.5,0.116755828043027,1.57372727916374
1054,3,0.213763965444725,1.89042873734248
1054,3.5,0.330273078152581,2.22131154637828
1054,4,0.469155516086139,2.54599455887471
1054,4.5,0.632634834751161,2.84108712302474
1054,5,0.822146289099151,3.08398782202961
1054,5.5,1.03828313893016,3.2567744151017
1054,6,1.28080259758337,3.34904355900907
1054,6.5,1.54867967216752,3.35910995630734
1054,7,1.84021837578387,3.29353572989416
1054,7.5,2.1532425683421,3.16539909418123
1054,8,2.48536952279636,2.99183934472405
1054,8.5,2.83432972669183,2.79141931533259
1054,9,3.19825834944091,2.58178045038516
1054,9.5,3.57587200207883,2.37794404069507
1054,10,3.96646720567194,2.19144424946949
1055,0,-0.190031975274906,0.514496699674055
1055,0.5,-0.142425128554746,0.652651824848291
1055,1,-0.0905538578645927,0.82496198583086
1055,1.5,-0.0320560207267983,1.0355344959028
1055,2,0.0359570129105397,1.2859825813777
1055,2.5,0.116755828043027,1.57372727916374
1055,3,0.213763965444725,1.89042873734248
1055,3.5,0.330273078152581,2.22131154637828
1055,4,0.469155516086139,2.54599455887471
1055,4.5,0.632634834751161,2.84108712302474
1055,5,0.822146289099151,3.08398782202961
1055,5.5,1.03828313893016,3.2567744151017
1055,6,1.28080259758337,3.34904355900907
1055,6.5,1.54867967216752,3.35910995630734
1055,7,1.84021837578387,3.29353572989416
1055,7.5,2.1532425683421,3.16539909418123
1055,8,2.48536952279636,2.99183934472405
1055,8.5,2.83432972669183,2.79141931533259
1055,9,3.19825834944091,2.58178045038516
1055,9.5,3.57587200207883,2.37794404069507
1055,10,3.96646720567194,2.19144424946949
1056,0,-0.190031975274906,0.514496699674055
1056,0.5,-0.142425128554746,0.652651824848291
1056,1,-0.0905538578645927,0.82496198583086
1056,1.5,-0.0320560207267983,1.0355344959028
1056,2,0.0359570129105397,1.2859825813777
1056,2.5,0.116755828043027,1.57372727916374
