i1	i2	i3	sequence	generation	x1	x2	x3	compute	measure	probed	s1	s2	s3	s	bioproduct actual cost	consumer inertia	retrofit delay
33554432	1040187392	234881024	3001	133.0	0.03125	0.96875	0.21875	False	False	False	35703.81046753801	36366.97007011819	6697.120383650196	0.011063744301900246	5.9375	4.846875	8.4375
50331648	150994944	754974720	2403	107.0	0.046875	0.140625	0.703125	False	False	False	14235.359887609071	32829.839044204695	25110.496348846154	0.00499383017003211	6.40625	0.7890625	24.90625
50331648	150994944	788529152	2404	107.0	0.046875	0.140625	0.734375	False	False	False	10515.612195205358	31697.215853597034	26030.70705268504	0.004821543980845538	6.40625	0.7890625	25.96875
50331648	184549376	754974720	2405	107.0	0.046875	0.171875	0.703125	False	False	False	12063.47645123211	31088.23466829407	23826.384225236005	0.00472891030658192	6.40625	0.9421875	24.90625
50331648	184549376	788529152	2406	107.0	0.046875	0.171875	0.734375	False	False	False	8930.204412838702	29684.01289730244	24495.58594649976	0.004515310567760423	6.40625	0.9421875	25.96875
50331648	218103808	620756992	2050	92.0	0.046875	0.203125	0.578125	False	False	False	27782.20560524365	35657.07037408826	20315.283185101263	0.005423887505793702	6.40625	1.0953125	20.65625
50331648	218103808	654311424	2051	92.0	0.046875	0.203125	0.609375	False	False	False	22604.23057425635	34164.22256235892	20423.875015793143	0.00519680663489932	6.40625	1.0953125	21.71875
50331648	218103808	687865856	2260	101.0	0.046875	0.203125	0.640625	False	False	False	17844.721303612536	32591.319382869147	21119.821096152624	0.004957548338759058	6.40625	1.0953125	22.78125
50331648	218103808	721420288	2261	101.0	0.046875	0.203125	0.671875	False	False	False	13828.61784135187	30952.303957760105	21931.13382102283	0.00470823354108257	6.40625	1.0953125	23.84375
50331648	251658240	620756992	2052	92.0	0.046875	0.234375	0.578125	False	False	False	24921.923399177205	34654.27181361123	19027.913351694064	0.005271349270713352	6.40625	1.2484375	20.65625
50331648	251658240	654311424	2053	92.0	0.046875	0.234375	0.609375	False	False	False	20002.63757498948	32972.583639119795	19533.38149892246	0.005015543412784724	6.40625	1.2484375	21.71875
50331648	251658240	687865856	2262	101.0	0.046875	0.234375	0.640625	False	False	False	15795.7740041835	31188.73315094588	20280.210218506174	0.004744197385937786	6.40625	1.2484375	22.78125
50331648	251658240	721420288	2263	101.0	0.046875	0.234375	0.671875	False	False	False	12250.826943099479	29335.91407477664	20931.088287698647	0.004462360372063717	6.40625	1.2484375	23.84375
67108864	0	671088640	3061	-1.0	0.0625	0.0	0.625	False	False	False					6.875	0.1	22.25
67108864	0	738197504	3062	-1.0	0.0625	0.0	0.6875	False	False	False					6.875	0.1	24.375
67108864	0	805306368	3063	-1.0	0.0625	0.0	0.75	False	False	False					6.875	0.1	26.5
67108864	67108864	67108864	221	10.0	0.0625	0.0625	0.0625	False	False	False	43396.955760256606	37676.88245499219	15215.351988091863	0.026205891159575244	6.875	0.40625	3.125
67108864	67108864	201326592	222	10.0	0.0625	0.0625	0.1875	False	False	False	48841.74918458026	40096.80549925675	21869.87447544173	0.029493809894070203	6.875	0.40625	7.375
