i1	i2	i3	sequence	generation	x1	x2	x3	compute	measure	probed	s1	s2	s3	s	bioproduct actual cost	consumer inertia	retrofit delay
0	872415232	469762048	14745	-1.0	0.0	0.8125	0.4375	False	False	False					5.0	4.08125	15.875
0	872415232	536870912	14746	-1.0	0.0	0.8125	0.5	False	False	False					5.0	4.08125	18.0
0	880803840	67108864	19426	-1.0	0.0	0.8203125	0.0625	False	False	False					5.0	4.11953125	3.125
0	880803840	75497472	19427	-1.0	0.0	0.8203125	0.0703125	False	False	False					5.0	4.11953125	3.390625
0	880803840	83886080	19428	-1.0	0.0	0.8203125	0.078125	False	False	False					5.0	4.11953125	3.65625
0	889192448	67108864	5986	-1.0	0.0	0.828125	0.0625	False	False	False					5.0	4.1578125	3.125
0	889192448	75497472	19429	-1.0	0.0	0.828125	0.0703125	False	False	False					5.0	4.1578125	3.390625
0	889192448	83886080	5987	-1.0	0.0	0.828125	0.078125	False	False	False					5.0	4.1578125	3.65625
0	889192448	92274688	19336	-1.0	0.0	0.828125	0.0859375	False	False	False					5.0	4.1578125	3.921875
0	889192448	100663296	5988	-1.0	0.0	0.828125	0.09375	False	False	False					5.0	4.1578125	4.1875
0	897581056	83886080	19337	-1.0	0.0	0.8359375	0.078125	False	False	False					5.0	4.19609375	3.65625
0	897581056	92274688	19338	-1.0	0.0	0.8359375	0.0859375	False	False	False					5.0	4.19609375	3.921875
0	897581056	100663296	19339	-1.0	0.0	0.8359375	0.09375	False	False	False					5.0	4.19609375	4.1875
0	905969664	0	18365	-1.0	0.0	0.84375	0.0	False	False	False					5.0	4.234375	1.0
0	905969664	33554432	18366	-1.0	0.0	0.84375	0.03125	False	False	False					5.0	4.234375	2.0625
0	905969664	67108864	3531	-1.0	0.0	0.84375	0.0625	False	False	False					5.0	4.234375	3.125
0	905969664	83886080	5989	-1.0	0.0	0.84375	0.078125	False	False	False					5.0	4.234375	3.65625
0	905969664	92274688	19340	-1.0	0.0	0.84375	0.0859375	False	False	False					5.0	4.234375	3.921875
0	905969664	100663296	3532	-1.0	0.0	0.84375	0.09375	False	False	False					5.0	4.234375	4.1875
0	905969664	134217728	3533	-1.0	0.0	0.84375	0.125	False	False	False					5.0	4.234375	5.25
0	905969664	402653184	14858	-1.0	0.0	0.84375	0.375	False	False	False					5.0	4.234375	13.75
0	905969664	436207616	14859	-1.0	0.0	0.84375	0.40625	False	False	False					5.0	4.234375	14.8125
0	905969664	469762048	14860	-1.0	0.0	0.84375	0.4375	False	False	False					5.0	4.234375	15.875
0	939524096	0	2753	-1.0	0.0	0.875	0.0	False	False	False					5.0	4.3875	1.0
0	939524096	33554432	18367	-1.0	0.0	0.875	0.03125	False	False	False					5.0	4.3875	2.0625
0	939524096	67108864	3382	-1.0	0.0	0.875	0.0625	False	False	False					5.0	4.3875	3.125
0	939524096	100663296	3534	-1.0	0.0	0.875	0.09375	False	False	False					5.0	4.3875	4.1875
0	939524096	134217728	2754	-1.0	0.0	0.875	0.125	False	False	False					5.0	4.3875	5.25
0	939524096	201326592	2980	-1.0	0.0	0.875	0.1875	False	False	False					5.0	4.3875	7.375
0	939524096	268435456	2755	-1.0	0.0	0.875	0.25	False	False	False					5.0	4.3875	9.5
0	939524096	335544320	8174	-1.0	0.0	0.875	0.3125	False	False	False					5.0	4.3875	11.625
0	939524096	402653184	4671	-1.0	0.0	0.875	0.375	False	False	False					5.0	4.3875	13.75
0	939524096	436207616	14861	-1.0	0.0	0.875	0.40625	False	False	False					5.0	4.3875	14.8125
0	939524096	469762048	14747	-1.0	0.0	0.875	0.4375	False	False	False					5.0	4.3875	15.875
