sequence	Year	Adopters	NonAdopters	Potential Adopters
3109	2045.0	102577.0	0.0512366	423.38599999999997
3109	2047.5	103250.0	0.00147907	0.199509
3109	2050.0	103500.0	4.23918e-05	0.200945
3108	2015.0	0.0	100000.0	0.0
3108	2017.5	246.875	99396.7	606.43
3108	2020.0	496.875	97944.2	2058.95
3108	2022.5	746.875	95686.6	4316.49
3108	2025.0	1355.14	92421.1	7223.78
3108	2027.5	4180.87	84720.3	12348.9
3108	2030.0	11313.5	65916.4	24270.1
3108	2032.5	24666.9	36317.4	40765.7
3108	2035.0	46435.5	11080.4	44484.0
3108	2037.5	85994.6	1226.38	15029.0
3108	2040.0	101797.0	38.9515	664.201
3108	2042.5	102047.0	1.1445	702.008
3108	2045.0	102297.0	0.0336265	703.1189999999999
3108	2047.5	103250.0	0.000964543	0.29802
3108	2050.0	103500.0	2.76451e-05	0.29895700000000003
3107	2015.0	0.0	100000.0	0.0
3107	2017.5	246.875	99380.2	622.943
3107	2020.0	496.875	97888.5	2114.59
3107	2022.5	746.875	95571.4	4431.75
3107	2025.0	1250.61	92325.8	7423.58
3107	2027.5	3780.89	85143.4	12325.7
3107	2030.0	10497.8	67195.8	23806.3
3107	2032.5	23415.9	37785.5	40548.6
3107	2035.0	44416.3	11782.7	45801.0
3107	2037.5	80805.8	1381.39	20062.8
3107	2040.0	102082.0	42.4853	375.67800000000005
3107	2042.5	102332.0	1.1195	417.04400000000004
3107	2045.0	102582.0	0.0294981	418.134
3107	2047.5	103247.0	0.000770811	2.84979
3107	2050.0	103497.0	2.0006500000000002e-05	2.85054
3098	2015.0	0.0	100000.0	0.0
3098	2017.5	250.0	99329.6	670.355
3098	2020.0	500.0	97741.8	2258.2
3098	2022.5	750.0	95284.9	4715.09
3098	2025.0	1000.0	92030.1	7969.89
3098	2027.5	1250.0	88067.8	11932.2
3098	2030.0	1500.0	83503.6	16496.4
3098	2032.5	1750.0	78453.7	21546.3
3098	2035.0	2000.0	73040.0	26960.0
3098	2037.5	2250.0	67385.5	32614.5
3098	2040.0	2729.94	61511.4	38258.7
3098	2042.5	5262.44	53546.4	43941.1
3098	2045.0	12135.8	39528.6	51335.5
3098	2047.5	25494.2	20278.9	57476.9
3098	2050.0	47295.3	5482.44	50722.3
3097	2015.0	0.0	100000.0	0.0
3097	2017.5	250.0	99242.4	757.62
3097	2020.0	500.0	97450.5	2549.51
3097	2022.5	750.0	94685.4	5314.62
3097	2025.0	1000.0	91036.6	8963.42
3097	2027.5	1250.0	86617.4	13382.6
3097	2030.0	1500.0	81559.0	18441.0
3097	2032.5	1750.0	76004.4	23995.6
3097	2035.0	2000.0	70101.4	29898.6
3097	2037.5	2250.0	63996.6	36003.4
3097	2040.0	2523.35	57825.8	42150.9
3097	2042.5	4040.37	50791.3	47918.3
3097	2045.0	9380.46	39081.0	54538.5
3097	2047.5	21019.9	21346.3	60883.8
3097	2050.0	41228.8	6062.74	56208.5
